"","ASV1","ASV2","ASV25","ASV47","ASV69","ASV102","ASV178","ASV261","ASV315","ASV350","ASV352","ASV548","ASV764","ASV1180","ASV1510","ASV1650","ASV2247","ASV2263","ASV2385","ASV2679","ASV5312","ASV5425","ASV6615","ASV7140","ASV7525","ASV7760","ASV9005","ASV9196","ASV12760","ASV17612"
"173",0.00216450216450216,0.0476190476190476,0.359307359307359,0.188311688311689,0.216450216450217,0.0454545454545455,0.00649350649350649,0.0454545454545455,0.0346320346320346,0.00216450216450216,0.0151515151515152,0,0.0108225108225108,0.00649350649350649,0.00432900432900433,0,0,0.00432900432900433,0.00216450216450216,0.00216450216450216,0,0.00216450216450216,0,0,0,0.00216450216450216,0,0.00216450216450216,0,0
"175",0.0175438596491228,0.0701754385964912,0.426900584795322,0.175438596491228,0.128654970760234,0.0292397660818713,0.0116959064327485,0.0409356725146199,0.0116959064327485,0.00584795321637427,0.0526315789473684,0.00584795321637427,0,0.00584795321637427,0,0,0.00584795321637427,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0,0
"177",0.00451467268623025,0.0586907449209932,0.388261851015802,0.1941309255079,0.121896162528217,0.0428893905191874,0.0135440180586907,0.0586907449209932,0.0158013544018059,0.00677200902934537,0.0428893905191874,0.0135440180586907,0.00677200902934537,0.0135440180586907,0,0.00225733634311512,0,0.0158013544018059,0,0,0,0,0,0,0,0,0,0,0,0
"178",0.00377358490566038,0.0528301886792453,0.373584905660377,0.256603773584906,0.154716981132075,0.0377358490566038,0.00377358490566038,0.0490566037735849,0.030188679245283,0.00377358490566038,0.00754716981132075,0,0.00754716981132075,0.00754716981132075,0.00377358490566038,0,0,0.00377358490566038,0,0.00377358490566038,0,0,0,0,0,0,0,0,0,0
"185",0.00555555555555556,0.113888888888889,0.33611111111111,0.288888888888888,0.0722222222222222,0.0194444444444444,0.00833333333333333,0.0694444444444444,0.0111111111111111,0.0138888888888889,0.0194444444444444,0.00555555555555556,0.00277777777777778,0.0111111111111111,0.00555555555555556,0.00277777777777778,0.00555555555555556,0.00277777777777778,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0
"19",0.00655021834061135,0.0524017467248908,0.397379912663756,0.148471615720524,0.203056768558952,0.0262008733624454,0.00436681222707424,0.0524017467248908,0.0174672489082969,0.00436681222707424,0.0480349344978166,0.00873362445414847,0.00436681222707424,0.0131004366812227,0,0.00218340611353712,0,0.00655021834061135,0,0.00218340611353712,0,0,0,0,0,0.00218340611353712,0,0,0,0
"192",0.00662251655629139,0.0794701986754967,0.47682119205298,0.152317880794702,0.19205298013245,0,0.00662251655629139,0.0198675496688742,0,0.00662251655629139,0.033112582781457,0.00662251655629139,0.00662251655629139,0.0132450331125828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",0.0272727272727273,0.1,0.4,0.190909090909091,0.190909090909091,0,0.00909090909090909,0.0545454545454545,0.0181818181818182,0,0,0,0,0,0,0,0,0,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0
"194",0.0128205128205128,0.0897435897435897,0.41025641025641,0.230769230769231,0.0769230769230769,0.0256410256410256,0,0.0512820512820513,0.0128205128205128,0.0256410256410256,0.0384615384615385,0,0.0128205128205128,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0
"195",0.024390243902439,0.0365853658536585,0.414634146341464,0.24390243902439,0.134146341463415,0.0609756097560976,0,0.024390243902439,0.024390243902439,0,0.024390243902439,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
