"X","sample_pair","group","beta_div_method","beta_div_value","time"
249,"348-357","Time 0","bray",0.812125249833444,0
250,"348-365","Time 0","bray",0.833040421792619,0
251,"348-42","Time 0","bray",0.854337152209493,0
252,"348-48","Time 0","bray",0.853781512605042,0
253,"348-55","Time 0","bray",0.856716417910448,0
254,"348-63","Time 0","bray",0.828367103694875,0
255,"348-87","Time 0","bray",0.860902255639098,0
256,"357-365","Time 0","bray",0.820177289995779,0
257,"357-42","Time 0","bray",0.860076045627376,0
258,"357-48","Time 0","bray",0.864380358534684,0
259,"357-55","Time 0","bray",0.843081312410842,0
260,"357-63","Time 0","bray",0.831733483907397,0
261,"357-87","Time 0","bray",0.858254105445117,0
262,"365-42","Time 0","bray",0.889952153110048,0
263,"365-48","Time 0","bray",0.905733722060253,0
264,"365-55","Time 0","bray",0.845726198749131,0
265,"365-63","Time 0","bray",0.854673998428908,0
266,"365-87","Time 0","bray",0.912008281573499,0
267,"42-48","Time 0","bray",0.894422310756972,0
268,"42-55","Time 0","bray",0.889254385964912,0
269,"42-63","Time 0","bray",0.880697050938338,0
270,"42-87","Time 0","bray",0.888382687927107,0
271,"48-55","Time 0","bray",0.891741071428571,0
272,"48-63","Time 0","bray",0.86027397260274,0
273,"48-87","Time 0","bray",0.874704491725768,0
274,"55-63","Time 0","bray",0.831578947368421,0
275,"55-87","Time 0","bray",0.891956782713085,0
276,"63-87","Time 0","bray",0.87256371814093,0
277,"101-112","Time 1","bray",0.761006289308176,1
278,"101-130","Time 1","bray",0.83634431455898,1
279,"101-139","Time 1","bray",0.715959004392387,1
280,"101-167","Time 1","bray",0.65311004784689,1
281,"101-197","Time 1","bray",0.724137931034483,1
282,"101-23","Time 1","bray",0.75,1
283,"101-241","Time 1","bray",0.776141384388807,1
284,"101-243","Time 1","bray",0.860194174757282,1
285,"101-257","Time 1","bray",0.714719271623672,1
286,"101-263","Time 1","bray",0.845303867403315,1
287,"101-269","Time 1","bray",0.704663212435233,1
288,"101-279","Time 1","bray",0.678524374176548,1
289,"101-291","Time 1","bray",0.857988165680473,1
290,"101-295","Time 1","bray",0.936842105263158,1
291,"101-300","Time 1","bray",0.781002638522427,1
292,"101-318","Time 1","bray",0.743386243386243,1
293,"101-323","Time 1","bray",0.807142857142857,1
294,"101-343","Time 1","bray",0.663716814159292,1
295,"101-358","Time 1","bray",0.747954173486088,1
296,"101-359","Time 1","bray",0.75328947368421,1
297,"101-46","Time 1","bray",0.745736434108527,1
298,"101-5","Time 1","bray",0.779632721202003,1
299,"101-96","Time 1","bray",0.722077922077922,1
300,"112-130","Time 1","bray",0.826829268292683,1
301,"112-139","Time 1","bray",0.786476868327402,1
302,"112-167","Time 1","bray",0.756643356643357,1
303,"112-197","Time 1","bray",0.619205298013245,1
304,"112-23","Time 1","bray",0.736040609137056,1
305,"112-241","Time 1","bray",0.756272401433692,1
306,"112-243","Time 1","bray",0.83756345177665,1
307,"112-257","Time 1","bray",0.717472118959108,1
308,"112-263","Time 1","bray",0.786729857819905,1
309,"112-269","Time 1","bray",0.720430107526882,1
310,"112-279","Time 1","bray",0.705329153605016,1
311,"112-291","Time 1","bray",0.8860103626943,1
312,"112-295","Time 1","bray",0.92090395480226,1
313,"112-300","Time 1","bray",0.679748822605965,1
314,"112-318","Time 1","bray",0.760629921259843,1
315,"112-323","Time 1","bray",0.790432801822323,1
316,"112-343","Time 1","bray",0.734328358208955,1
317,"112-358","Time 1","bray",0.755102040816326,1
318,"112-359","Time 1","bray",0.761806981519507,1
319,"112-46","Time 1","bray",0.801526717557252,1
320,"112-5","Time 1","bray",0.774058577405858,1
321,"112-96","Time 1","bray",0.63944530046225,1
322,"130-139","Time 1","bray",0.833333333333333,1
323,"130-167","Time 1","bray",0.80952380952381,1
324,"130-197","Time 1","bray",0.810666666666667,1
325,"130-23","Time 1","bray",0.934871099050203,1
326,"130-241","Time 1","bray",0.855113636363636,1
327,"130-243","Time 1","bray",0.955555555555556,1
328,"130-257","Time 1","bray",0.859649122807018,1
329,"130-263","Time 1","bray",0.943661971830986,1
330,"130-269","Time 1","bray",0.824341279799247,1
331,"130-279","Time 1","bray",0.823979591836735,1
332,"130-291","Time 1","bray",0.93609022556391,1
