"","sample_pair","group","beta_div_method","beta_div_value"
"475","269-279","Time 1","bray",0.626016260162602
"476","269-291","Time 1","bray",0.851239669421488
"477","269-295","Time 1","bray",0.909365558912387
"478","269-300","Time 1","bray",0.752442996742671
"479","269-318","Time 1","bray",0.696078431372549
"480","269-323","Time 1","bray",0.706730769230769
"481","269-343","Time 1","bray",0.675425038639876
"482","269-358","Time 1","bray",0.725910064239829
"483","269-359","Time 1","bray",0.741379310344828
"484","269-46","Time 1","bray",0.756487025948104
"485","269-5","Time 1","bray",0.648351648351648
"486","269-96","Time 1","bray",0.699680511182109
"487","279-291","Time 1","bray",0.851428571428571
"488","279-295","Time 1","bray",0.905660377358491
"489","279-300","Time 1","bray",0.720465890183028
"490","279-318","Time 1","bray",0.679465776293823
"491","279-323","Time 1","bray",0.692307692307692
"492","279-343","Time 1","bray",0.662460567823344
"493","279-358","Time 1","bray",0.651982378854626
"494","279-359","Time 1","bray",0.716186252771619
"495","279-46","Time 1","bray",0.733606557377049
"496","279-5","Time 1","bray",0.638009049773756
"497","279-96","Time 1","bray",0.641109298531811
"498","291-295","Time 1","bray",0.818181818181818
"499","291-300","Time 1","bray",0.879656160458453
"500","291-318","Time 1","bray",0.855907780979827
"501","291-323","Time 1","bray",0.841059602649007
"502","291-343","Time 1","bray",0.848167539267016
"503","291-358","Time 1","bray",0.801980198019802
"504","291-359","Time 1","bray",0.78894472361809
"505","291-46","Time 1","bray",0.805084745762712
"506","291-5","Time 1","bray",0.842105263157895
"507","291-96","Time 1","bray",0.867036011080332
"508","295-300","Time 1","bray",0.899053627760252
"509","295-318","Time 1","bray",0.917460317460317
"510","295-323","Time 1","bray",0.831932773109244
"511","295-343","Time 1","bray",0.914285714285714
"512","295-358","Time 1","bray",0.858823529411765
"513","295-359","Time 1","bray",0.868263473053892
"514","295-46","Time 1","bray",0.892156862745098
"515","295-5","Time 1","bray",0.873417721518987
"516","295-96","Time 1","bray",0.908814589665654
"517","300-318","Time 1","bray",0.762541806020067
"518","300-323","Time 1","bray",0.796019900497512
"519","300-343","Time 1","bray",0.725118483412322
"520","300-358","Time 1","bray",0.735099337748344
"521","300-359","Time 1","bray",0.773333333333333
"522","300-46","Time 1","bray",0.811088295687885
"523","300-5","Time 1","bray",0.786848072562358
"524","300-96","Time 1","bray",0.647058823529412
"525","318-323","Time 1","bray",0.76
"526","318-343","Time 1","bray",0.746434231378764
"527","318-358","Time 1","bray",0.725055432372506
"528","318-359","Time 1","bray",0.78125
"529","318-46","Time 1","bray",0.77319587628866
"530","318-5","Time 1","bray",0.740318906605923
"531","318-96","Time 1","bray",0.737704918032787
"532","323-343","Time 1","bray",0.770114942528736
"533","323-358","Time 1","bray",0.67843137254902
"534","323-359","Time 1","bray",0.722222222222222
"535","323-46","Time 1","bray",0.778546712802768
"536","323-5","Time 1","bray",0.522633744855967
"537","323-96","Time 1","bray",0.748792270531401
"538","343-358","Time 1","bray",0.716049382716049
"539","343-359","Time 1","bray",0.747412008281574
"540","343-46","Time 1","bray",0.742307692307692
"541","343-5","Time 1","bray",0.70042194092827
"542","343-96","Time 1","bray",0.683720930232558
"543","358-359","Time 1","bray",0.676567656765677
"544","358-46","Time 1","bray",0.729411764705882
"545","358-5","Time 1","bray",0.625850340136054
"546","358-96","Time 1","bray",0.711827956989247
"547","359-46","Time 1","bray",0.810089020771513
"548","359-5","Time 1","bray",0.711340206185567
"549","359-96","Time 1","bray",0.705627705627706
"550","46-5","Time 1","bray",0.75
"551","46-96","Time 1","bray",0.763527054108216
"552","5-96","Time 1","bray",0.704194260485651
"553","102-105","Time 2","bray",0.859310344827586
"554","102-111","Time 2","bray",0.815384615384615
"555","102-129","Time 2","bray",0.787096774193548
"556","102-134","Time 2","bray",0.742105263157895
"557","102-144","Time 2","bray",0.845965770171149
"558","102-146","Time 2","bray",0.769072164948454
"559","102-19","Time 2","bray",0.78021978021978
"560","102-193","Time 2","bray",0.847750865051903
"561","102-218","Time 2","bray",0.815533980582524
"562","102-232","Time 2","bray",0.872
"563","102-235","Time 2","bray",0.895495495495495
"564","102-242","Time 2","bray",0.892797319932998
"565","102-244","Time 2","bray",0.857142857142857
"566","102-250","Time 2","bray",0.795275590551181
"567","102-27","Time 2","bray",0.88235294117647
"568","102-275","Time 2","bray",0.807692307692308
"569","102-286","Time 2","bray",0.877159309021113
"570","102-340","Time 2","bray",0.895131086142322
"571","102-341","Time 2","bray",0.826825127334465
"572","102-36","Time 2","bray",0.91103507271172
"573","102-369","Time 2","bray",0.826530612244898
