"sample","original","bird","population","site","sex","timepoint","time","flock","serviceband","pair","control","mock","Observed","Shannon","Simpson"
"343",417,"BIRD11","migratory","Cloaca","male","Time 1",1,"migratorymale",232167136,5,"no","no",333,5.80814248998044,0.996996996996997
"345",263,"BIRD19","resident","Cloaca","male","Time 4",4,"residentmale",232167130,6,"no","no",170,5.13579843705025,0.994117647058824
"348",55,"BIRD19","resident","Cloaca","male","Time 0",0,"residentmale",232167130,6,"no","no",704,6.55677835615802,0.998579545454545
"353",207,"BIRD15","resident","Cloaca","male","Time 3",3,"residentmale",232167124,4,"no","no",435,6.07534603108867,0.997701149425287
"357",61,"BIRD05","migratory","Cloaca","female","Time 0",0,"migratoryfemale",232167133,5,"no","no",797,6.68085467879015,0.998745294855709
"358",377,"BIRD03","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167119,9,"no","no",153,5.03043792139243,0.993464052287582
"359",379,"BIRD04","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167132,4,"no","no",150,5.01063529409626,0.993333333333333
"36",147,"BIRD07","migratory","Cloaca","male","Time 2",2,"migratorymale",231115833,3,"no","no",1017,6.92461239604874,0.999016715830875
"365",91,"BIRD23","resident","Cloaca","female","Time 0",0,"residentfemale",232167147,1,"no","no",1572,7.36010397298893,0.999363867684478
"367",435,"BIRD16","resident","Cloaca","male","Time 5",5,"residentmale",232167125,9,"no","no",459,6.12905021006052,0.997821350762527
"369",171,"BIRD04","migratory","Cloaca","female","Time 2",2,"migratoryfemale",232167132,4,"no","no",240,5.480638923342,0.995833333333333
"37",187,"BIRD23","resident","Cloaca","female","Time 2",2,"residentfemale",232167147,1,"no","no",172,5.14749447681344,0.994186046511628
"374",219,"BIRD17","resident","Cloaca","male","Time 3",3,"residentmale",232167127,7,"no","no",603,6.40191719672727,0.998341625207297
"376",195,"BIRD08","migratory","Cloaca","male","Time 3",3,"migratorymale",232167120,1,"no","no",826,6.7165947735209,0.998789346246973
"378",425,"BIRD03","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167119,9,"no","no",196,5.27811465923053,0.994897959183674
"38",197,"BIRD23","resident","Cloaca","female","Time 3",3,"residentfemale",232167147,1,"no","no",277,5.62401750618732,0.996389891696751
"387",453,"BIRD25","resident","Cloaca","female","Time 5",5,"residentfemale",232167157,11,"no","no",292,5.67675380226826,0.996575342465753
"388",437,"BIRD17","resident","Cloaca","male","Time 5",5,"residentmale",232167127,7,"no","no",388,5.96100533962331,0.997422680412371
"40",467,"BIRD12","migratory","Cloaca","male","Time 5",5,"migratorymale",232167143,8,"no","no",174,5.15905529921453,0.994252873563218
"42",49,"BIRD18","resident","Cloaca","male","Time 0",0,"residentmale",232167128,11,"no","no",518,6.24997524225952,0.998069498069498
"43",265,"BIRD22","resident","Cloaca","female","Time 4",4,"residentfemale",232167131,6,"no","no",136,4.91265488573606,0.99264705882353
"45",211,"BIRD11","migratory","Cloaca","male","Time 3",3,"migratorymale",232167136,5,"no","no",122,4.80402104473327,0.991803278688525
"46",409,"BIRD07","migratory","Cloaca","male","Time 1",1,"migratorymale",231115833,3,"no","no",187,5.23110861685457,0.994652406417112
"48",67,"BIRD11","migratory","Cloaca","male","Time 0",0,"migratorymale",232167136,5,"no","no",486,6.18620862390048,0.997942386831276
"49",257,"BIRD04","migratory","Cloaca","female","Time 4",4,"migratoryfemale",232167132,4,"no","no",327,5.78996017089721,0.996941896024465
"5",399,"BIRD22","resident","Cloaca","female","Time 1",1,"residentfemale",232167131,6,"no","no",141,4.94875989037817,0.99290780141844
"52",241,"BIRD02","migratory","Cloaca","female","Time 3",3,"migratoryfemale",232167118,12,"no","no",469,6.15060276844622,0.997867803837953
"55",13,"BIRD01","migratory","Cloaca","female","Time 0",0,"migratoryfemale",232167117,10,"no","no",1306,7.17472430983636,0.999234303215926
"62",239,"BIRD09","migratory","Cloaca","male","Time 3",3,"migratorymale",232167121,12,"no","no",310,5.7365722974792,0.996774193548387
"63",111,"BIRD25","resident","Cloaca","female","Time 0",0,"residentfemale",232167157,11,"no","no",974,6.88141130364263,0.998973305954825
"65",287,"BIRD09","migratory","Cloaca","male","Time 4",4,"migratorymale",232167121,12,"no","no",289,5.66642668811245,0.996539792387543
"7",431,"BIRD06","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167137,3,"no","no",234,5.45532111535769,0.995726495726496
"73",449,"BIRD23","resident","Cloaca","female","Time 5",5,"residentfemale",232167147,1,"no","no",341,5.83188247728354,0.997067448680352
"76",233,"BIRD01","migratory","Cloaca","female","Time 3",3,"migratoryfemale",232167117,10,"no","no",440,6.08677472691226,0.997727272727273
"83",183,"BIRD21","resident","Cloaca","female","Time 2",2,"residentfemale",232167129,2,"no","no",454,6.1180971980414,0.997797356828194
"85",249,"BIRD21","resident","Cloaca","female","Time 4",4,"residentfemale",232167129,2,"no","no",597,6.39191711339264,0.998324958123953
"86",451,"BIRD24","resident","Cloaca","female","Time 5",5,"residentfemale",232167148,8,"no","no",421,6.04263283368241,0.997624703087886
"87",25,"BIRD09","migratory","Cloaca","male","Time 0",0,"migratorymale",232167121,12,"no","no",360,5.88610403145013,0.997222222222222
"9",277,"BIRD03","migratory","Cloaca","female","Time 4",4,"migratoryfemale",232167119,9,"no","no",295,5.68697535633981,0.996610169491525
"92",289,"BIRD02","migratory","Cloaca","female","Time 4",4,"migratoryfemale",232167118,12,"no","no",263,5.57215403217778,0.996197718631179
"96",385,"BIRD15","resident","Cloaca","male","Time 1",1,"residentmale",232167124,4,"no","no",312,5.7430031878095,0.996794871794872
"99",221,"BIRD26","resident","Cloaca","female","Time 3",3,"residentfemale",232167161,7,"no","no",459,6.12905021006052,0.997821350762527
